lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_str1,can_str2,can_cit,can_sta,can_zip,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,can_con,tot_con,tra_fro_oth_aut_com,can_loa,oth_loa,tot_loa,off_to_ope_exp,off_to_fun,off_to_leg_acc,oth_rec,tot_rec,ope_exp,exe_leg_acc_dis,fun_dis,tra_to_oth_aut_com,can_loa_rep,oth_loa_rep,tot_loa_rep,ind_ref,par_com_ref,oth_com_ref,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CO06237&tabIndex=1,H8CO06237,"AARESTAD, DAVID",H,CO,6,DEM,,11436 E AMHERST CIR NORTH,,AURORA,CO,80014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AZ03245&tabIndex=1,H6AZ03245,"ABATECOLA, BILL",H,AZ,3,REP,CHALLENGER,11520 W ROYALTY DR,,TUCSON,AZ,857438956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8AZ00122&tabIndex=1,S8AZ00122,"ABBOUD, DEEDRA",S,AZ,0,DEM,CHALLENGER,20392 N 84TH WAY,,SCOTTSDALE,AZ,85255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN05163&tabIndex=1,H8MN05163,"ABDULAHI, JAMAL MR.",H,MN,5,DEM,CHALLENGER,PO BOX 7599,,MINNEAPOLIS,MN,55407,"$62,007.34","$2,250.00","$64,257.34",,,,"$64,257.34",,,,,,,,$0.01,"$64,257.35","$12,595.28",,,,,,,"$1,100.00",,,"$1,100.00",,"$13,695.28",,"$50,562.07","$63,157.34","$12,595.28",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4LA05221&tabIndex=1,H4LA05221,"ABRAHAM, RALPH LEE DR. JR.",H,LA,5,REP,INCUMBENT,P.O. BOX 271,,ARCHIBALD,LA,712180271,"$1,800.00",$200.00,"$2,000.00",,"$16,500.00",,"$18,500.00",,,,,,,,"$3,051.16","$21,551.16","$66,563.46",,,,"$75,000.00",,"$75,000.00",,,,,"$6,000.00","$147,563.46","$208,161.38","$82,149.08","$18,500.00","$66,563.46",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NC00023&tabIndex=1,H8NC00023,"ABRAMS, DR MARCIA KAREN",H,NC,0,REP,CHALLENGER,204 HELEN STREET,,FAYETTEVILLE,NC,28303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6NC00324&tabIndex=1,S6NC00324,"ABRAMS, MARCIA KAREN DR PHD",S,NC,0,REP,CHALLENGER,204 HELEN STREET,,FAYETTEVILLE,NC,28303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8GA06302&tabIndex=1,H8GA06302,"ABROMS, DAVID",H,GA,6,REP,OPEN,860 JOHNSON FERRY ROAD NE,SUITE 140-341,ATLANTA,GA,30342,"$9,470.00",$659.00,"$10,129.00",,,,"$10,129.00",,"$250,000.00",,"$250,000.00",$773.42,,,,"$260,902.42","$155,412.27",,,,,,,,,,,,"$155,412.27",,"$105,490.15","$10,129.00","$154,638.85","$250,000.00",,2017-02-15,2017-03-29
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NC07093&tabIndex=1,H8NC07093,"ACKER, BRANDON W.",H,NC,7,DEM,CHALLENGER,PO BOX 96503,EMC# 79459,WASHINGTON,DC,20090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX06209&tabIndex=1,H8TX06209,"ADAIR, GLENN DAREN MR. N/A",H,TX,6,LIB,CHALLENGER,109 E DICKSON,PO BOX 284,MILFORD,TX,76670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NC12100&tabIndex=1,H4NC12100,"ADAMS, ALMA SHEALEY",H,NC,12,DEM,INCUMBENT,310 W 10TH STREET,,CHARLOTTE,NC,28202,"$12,000.00",$580.89,"$12,580.89",,"$26,500.00",,"$39,080.89",,,,,,,,,"$39,080.89","$23,315.26",,,"$5,000.00",,,,,,,,"$2,050.00","$30,365.26","$106,855.26","$115,570.89","$39,080.89","$23,315.26",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8CT00105&tabIndex=1,S8CT00105,"ADAMS, ANN MARIE DR",S,CT,0,DEM,CHALLENGER,PO BOX #60,,AVON,CT,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NC05063&tabIndex=1,H8NC05063,"ADAMS, DENISE DARCEL",H,NC,5,DEM,CHALLENGER,3661 MARLOWE AVE,,WINSTON-SALEM,NC,27106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8CA00325&tabIndex=1,S8CA00325,"ADAMS, DONALD R",S,CA,0,,CHALLENGER,1430 RIDGE DR,,REDDING,CA,96001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AL04098&tabIndex=1,H6AL04098,"ADERHOLT, ROBERT B. REP.",H,AL,4,REP,INCUMBENT,PO BOX 1158,,HALEYVILLE,AL,355651158,"$68,803.45",$101.00,"$68,904.45",,"$159,300.00",,"$228,204.45",,,,,$6.77,,,$173.98,"$228,385.20","$61,183.05",,,,,,,$500.00,,,$500.00,,"$61,683.05","$465,512.26","$632,214.41","$227,704.45","$61,176.28",,,2017-01-01,2017-03-31
